X1,X2,X3,X4,X5,X6,X7,X8,class
0.30230326,0.38431752,0.00870988,0.33467742,0.35125448,0.29723992,0.32061069,0.34318398,1
0.36948177,0.46369797,0.00574763,0.32258065,0.38709677,0.36305732,0.36386768,0.40991420,1
0.44433781,0.56727977,0.00539393,0.15322581,0.49103943,0.42675159,0.38083121,0.52526215,2
0.36564299,0.45692159,0.00590238,0.31854839,0.66666667,0.59872611,0.41391009,0.36224976,2
0.25335893,0.32526621,0.00656557,0.32258065,0.50179211,0.42675159,0.25360475,0.29551954,1
0.40595010,0.46853824,0.00771509,0.50403226,0.32974910,0.32271762,0.43256997,0.39084843,1
0.46928983,0.54114230,0.00707401,0.42741935,0.28673835,0.32271762,0.49957591,0.50428980,1
0.46065259,0.54017425,0.00499602,0.38709677,0.21146953,0.32271762,0.44020356,0.50428980,1
0.25527831,0.35333979,0.01003625,0.31854839,0.70609319,0.51167728,0.34690416,0.27645377,1
0.21209213,0.30009681,0.01319745,0.18951613,0.52329749,0.36305732,0.18490246,0.29551954,1
0.25911708,0.36495644,0.01297639,0.10080645,0.32616487,0.17409766,0.24427481,0.29551954,2
0.28310940,0.36398838,0.01109736,0.36693548,0.23297491,0.17409766,0.27989822,0.30505243,2
0.30134357,0.38044530,0.00859935,0.47177419,0.17562724,0.17409766,0.38931298,0.31363203,1
0.34165067,0.45014521,0.00800248,0.16935484,0.17921147,0.17409766,0.36386768,0.35367016,1
0.46449136,0.60116167,0.00521708,0.03629032,0.23297491,0.27813163,0.40627651,0.53384175,2
0.28886756,0.36979671,0.00941728,0.31048387,0.66666667,0.51167728,0.37319763,0.29551954,1
0.17946257,0.24782188,0.01153948,0.38306452,0.37992832,0.42675159,0.22815946,0.21925643,1
0.28310940,0.36398838,0.00842250,0.29838710,0.35842294,0.44585987,0.27056828,0.30505243,1
0.19385797,0.24104550,0.01131842,0.33870968,0.45161290,0.42675159,0.21119593,0.20972355,1
0.21017274,0.27492740,0.01145106,0.27419355,0.48028674,0.42675159,0.22052587,0.26787417,1
0.21209213,0.31268151,0.00963834,0.20967742,0.34408602,0.29723992,0.22815946,0.22783603,2
0.15834933,0.24298161,0.01103104,0.17338710,0.25448029,0.17409766,0.23664122,0.16110582,2
0.38867562,0.52178122,0.00848881,0.03225806,0.34408602,0.34394904,0.36386768,0.39942803,2
0.17370441,0.25556631,0.01136263,0.21370968,0.64157706,0.42675159,0.22815946,0.20972355,2
0.13915547,0.22168441,0.01299850,0.19354839,0.50537634,0.34394904,0.13486005,0.21925643,1
0.19097889,0.28073572,0.01158369,0.32258065,0.35483871,0.23566879,0.22052587,0.23832221,1
0.29078695,0.39206196,0.00835618,0.16129032,0.32974910,0.51167728,0.24427481,0.36224976,2
0.19865643,0.29525653,0.00919622,0.13709677,0.78853047,0.61995754,0.22815946,0.22783603,1
0.08829175,0.15392062,0.01357326,0.45967742,0.38709677,0.23566879,0.09160305,0.13346044,1
0.08733205,0.13455954,0.01149527,0.59677419,0.43010753,0.44585987,0.17726887,0.10486177,1
0.22840691,0.31461762,0.00895305,0.43145161,0.27598566,0.23566879,0.33757422,0.24690181,1
0.21209213,0.28654405,0.01080997,0.45564516,0.29390681,0.32271762,0.25360475,0.20972355,1
0.12476008,0.19167473,0.01156159,0.36290323,0.39068100,0.32271762,0.20356234,0.14204004,1
0.32629559,0.42787996,0.00817933,0.20161290,0.36559140,0.29723992,0.28753181,0.31363203,2
0.16602687,0.25072604,0.00897515,0.21774194,0.34408602,0.21443737,0.21119593,0.16110582,1
0.28598848,0.38915779,0.00811301,0.18548387,0.31899642,0.29723992,0.31297710,0.31363203,2
0.29750480,0.40561471,0.00738350,0.32258065,0.40860215,0.42675159,0.32061069,0.29551954,2
0.31285988,0.39980639,0.00630029,0.43548387,0.34408602,0.32271762,0.38083121,0.29551954,1
