"X1","X2","class"
0.181278539,0.285046729,0
0.280365297,0.280373832,1
0.229680365,0.252336449,2
0.225114155,0.214953271,3
0.205936073,0.205607477,4
0.210502283,0.200934579,5
0.231050228,0.224299065,6
0.235616438,0.247663551,7
0.249315068,0.261682243,8
0.219634703,0.224299065,9
0.247031963,0.257009346,10
0.278995434,0.285046729,11
0.310958904,0.313084112,12
0.283561644,0.285046729,13
0.256621005,0.238317757,14
0.245205479,0.252336449,15
0.231506849,0.247663551,16
0.27716895,0.294392523,17
0.421917808,0.434579439,18
0.450228311,0.46728972,19
0.473059361,0.481308411,20
0.461643836,0.485981308,21
0.4,0.401869159,22
0.349771689,0.35046729,23
0.285844749,0.275700935,0
0.224657534,0.242990654,1
0.202283105,0.210280374,2
0.180821918,0.196261682,3
0.196803653,0.191588785,4
0.231050228,0.247663551,5
0.301826484,0.308411215,6
0.477625571,0.443925234,7
0.573515982,0.560747664,8
0.673972603,0.668224299,9
0.724200913,0.700934579,10
0.709589041,0.710280374,11
0.718721461,0.700934579,12
0.606849315,0.598130841,13
0.620547945,0.626168224,14
0.625114155,0.61682243,15
0.620547945,0.621495327,16
0.693607306,0.668224299,17
0.807762557,0.785046729,18
0.803196347,0.76635514,19
0.677625571,0.663551402,20
0.615981735,0.621495327,21
0.524657534,0.53271028,22
0.456164384,0.471962617,23
0.380821918,0.387850467,0
0.308219178,0.317757009,1
0.26347032,0.299065421,2
0.219178082,0.252336449,3
0.243378995,0.247663551,4
0.325570776,0.299065421,5
0.327853881,0.355140187,6
0.494520548,0.490654206,7
0.648858447,0.663551402,8
0.781278539,0.785046729,9
0.790410959,0.799065421,10
0.769863014,0.775700935,11
0.719634703,0.724299065,12
0.616894977,0.630841121,13
0.614611872,0.621495327,14
0.657990868,0.658878505,15
0.676255708,0.705607477,16
0.715068493,0.757009346,17
0.849771689,0.827102804,18
0.804109589,0.817757009,19
0.708219178,0.719626168,20
0.637442922,0.654205607,21
0.536986301,0.556074766,22
0.477625571,0.523364486,23
0.39086758,0.401869159,0
0.323287671,0.364485981,1
0.286757991,0.308411215,2
0.291324201,0.299065421,3
0.277625571,0.26635514,4
0.309589041,0.322429907,5
0.339269406,0.373831776,6
0.526484018,0.523364486,7
0.656621005,0.700934579,8
0.773059361,0.785046729,9
0.807305936,0.845794393,10
0.738812785,0.76635514,11
0.72739726,0.761682243,12
0.636073059,0.640186916,13
0.642922374,0.654205607,14
0.670319635,0.682242991,15
0.69543379,0.696261682,16
0.72283105,0.728971963,17
0.823287671,0.831775701,18
0.823287671,0.822429907,19
0.73652968,0.719626168,20
0.665753425,0.663551402,21
0.535616438,0.565420561,22
0.492237443,0.518691589,23
0.414155251,0.439252336,0
0.334246575,0.378504673,1
0.265753425,0.308411215,2
0.257534247,0.289719626,3
0.280365297,0.331775701,4
0.311415525,0.327102804,5
0.339726027,0.373831776,6
0.531506849,0.551401869,7
0.651141553,0.696261682,8
0.772146119,0.799065421,9
0.799543379,0.841121495,10
0.774429224,0.785046729,11
0.748858447,0.761682243,12
0.680365297,0.682242991,13
0.67716895,0.658878505,14
0.670319635,0.691588785,15
0.710958904,0.682242991,16
0.708675799,0.714953271,17
0.844748858,0.831775701,18
0.808219178,0.785046729,19
0.738356164,0.714953271,20
0.665296804,0.621495327,21
0.544292237,0.542056075,22
0.480365297,0.462616822,23
0.48630137,0.41588785,0
0.383561644,0.331775701,1
0.328767123,0.275700935,2
0.310502283,0.23364486,3
0.315068493,0.261682243,4
0.261187215,0.247663551,5
0.306849315,0.275700935,6
0.33652968,0.331775701,7
0.418721461,0.38317757,8
0.402739726,0.359813084,9
0.439269406,0.420560748,10
0.464383562,0.462616822,11
0.465753425,0.453271028,12
0.407305936,0.406542056,13
0.363926941,0.35046729,14
0.377625571,0.364485981,15
0.375342466,0.359813084,16
0.410502283,0.406542056,17
0.551598174,0.53271028,18
0.599086758,0.551401869,19
0.562557078,0.546728972,20
0.535616438,0.523364486,21
0.431050228,0.457943925,22
0.419634703,0.406542056,23
0.3543379,0.355140187,0
0.311415525,0.280373832,1
0.206392694,0.228971963,2
0.197260274,0.214953271,3
0.210958904,0.205607477,4
0.252054795,0.23364486,5
0.310045662,0.271028037,6
0.369406393,0.359813084,7
0.424200913,0.439252336,8
0.478995434,0.476635514,9
0.551598174,0.551401869,10
0.547031963,0.523364486,11
0.523287671,0.53271028,12
0.434246575,0.439252336,13
0.39543379,0.38317757,14
0.435616438,0.406542056,15
0.434246575,0.425233645,16
0.498173516,0.471962617,17
0.653424658,0.635514019,18
0.669406393,0.654205607,19
0.620091324,0.602803738,20
0.574429224,0.542056075,21
0.519634703,0.485981308,22
0.437442922,0.401869159,23
0.368493151,0.35046729,0
0.28173516,0.327102804,1
0.243378995,0.257009346,2
0.226484018,0.219626168,3
0.208219178,0.205607477,4
0.202283105,0.224299065,5
0.264840183,0.247663551,6
0.289954338,0.299065421,7
0.267123288,0.317757009,8
0.326484018,0.322429907,9
0.408675799,0.411214953,10
0.429223744,0.411214953,11
0.460273973,0.46728972,12
0.384931507,0.38317757,13
0.379452055,0.369158879,14
0.352054795,0.369158879,15
0.333789954,0.355140187,16
0.41826484,0.420560748,17
0.571232877,0.560747664,18
0.630593607,0.630841121,19
0.621461187,0.598130841,20
0.594063927,0.560747664,21
0.542922374,0.509345794,22
0.485844749,0.448598131,23
0.311415525,0.359813084,0
0.308219178,0.308411215,1
0.254794521,0.242990654,2
0.266210046,0.228971963,3
0.253881279,0.228971963,4
0.278995434,0.271028037,5
0.367579909,0.345794393,6
0.609589041,0.579439252,7
0.880365297,0.845794393,8
0.926940639,0.911214953,9
0.932876712,0.88317757,10
0.907762557,0.869158879,11
0.871232877,0.827102804,12
0.769406393,0.747663551,13
0.767123288,0.752336449,14
0.783105023,0.775700935,15
0.821004566,0.827102804,16
0.850684932,0.845794393,17
0.942009132,0.929906542,18
0.905479452,0.892523364,19
0.800456621,0.780373832,20
0.71826484,0.700934579,21
0.620091324,0.598130841,22
0.560730594,0.560747664,23
0.450228311,0.523364486,0
0.339726027,0.406542056,1
0.307762557,0.331775701,2
0.24109589,0.285046729,3
0.273059361,0.331775701,4
0.299543379,0.322429907,5
0.380365297,0.397196262,6
0.581278539,0.607476636,7
0.887671233,0.808411215,8
0.938812785,0.925233645,9
0.915981735,0.91588785,10
0.902283105,0.892523364,11
0.847488584,0.845794393,12
0.751598174,0.752336449,13
0.735159817,0.724299065,14
0.748858447,0.747663551,15
0.785388128,0.761682243,16
0.781278539,0.785046729,17
0.931506849,0.929906542,18
0.896803653,0.88317757,19
0.812328767,0.775700935,20
0.737899543,0.742990654,21
0.660273973,0.682242991,22
0.530136986,0.504672897,23
0.446118721,0.471962617,0
0.36347032,0.387850467,1
0.312785388,0.313084112,2
0.279452055,0.294392523,3
0.291324201,0.317757009,4
0.289954338,0.299065421,5
0.351598174,0.392523364,6
0.579908676,0.58411215,7
0.854794521,0.845794393,8
0.906392694,0.873831776,9
0.852054795,0.85046729,10
0.82283105,0.841121495,11
0.770776256,0.76635514,12
0.679452055,0.677570093,13
0.666666667,0.658878505,14
0.703652968,0.719626168,15
0.729680365,0.742990654,16
0.746118721,0.76635514,17
0.896803653,0.897196262,18
0.887671233,0.869158879,19
0.766210046,0.771028037,20
0.688584475,0.677570093,21
0.582191781,0.635514019,22
0.506849315,0.495327103,23
0.405936073,0.41588785,0
0.348858447,0.355140187,1
0.316894977,0.289719626,2
0.316894977,0.289719626,3
0.319178082,0.271028037,4
0.302283105,0.285046729,5
0.346575342,0.364485981,6
0.606392694,0.58411215,7
0.802739726,0.808411215,8
0.887214612,0.887850467,9
0.89086758,0.878504673,10
0.86803653,0.85046729,11
0.804109589,0.789719626,12
0.712785388,0.696261682,13
0.712328767,0.710280374,14
0.723744292,0.73364486,15
0.769863014,0.761682243,16
0.751598174,0.780373832,17
0.923744292,0.906542056,18
0.897260274,0.911214953,19
0.806849315,0.827102804,20
0.714611872,0.705607477,21
0.578995434,0.607476636,22
0.542465753,0.551401869,23
0.426940639,0.448598131,0
0.347031963,0.345794393,1
0.309589041,0.317757009,2
0.278538813,0.289719626,3
0.284474886,0.289719626,4
0.299086758,0.289719626,5
0.353881279,0.359813084,6
0.586757991,0.602803738,7
0.824200913,0.845794393,8
0.880365297,0.897196262,9
0.875342466,0.892523364,10
0.861643836,0.88317757,11
0.797716895,0.817757009,12
0.730136986,0.714953271,13
0.715068493,0.724299065,14
0.740182648,0.747663551,15
0.7456621,0.757009346,16
0.702283105,0.747663551,17
0.897716895,0.892523364,18
0.879452055,0.887850467,19
0.814611872,0.803738318,20
0.69543379,0.719626168,21
0.583561644,0.593457944,22
0.528767123,0.537383178,23
0.459817352,0.457943925,0
0.376712329,0.38317757,1
0.344748858,0.35046729,2
0.271689498,0.294392523,3
0.253424658,0.294392523,4
0.264840183,0.275700935,5
0.314155251,0.313084112,6
0.46347032,0.485981308,7
0.568949772,0.58411215,8
0.655707763,0.677570093,9
0.714155251,0.728971963,10
0.720091324,0.686915888,11
0.620547945,0.630841121,12
0.509589041,0.546728972,13
0.46803653,0.495327103,14
0.473972603,0.462616822,15
0.483561644,0.471962617,16
0.517808219,0.5,17
0.700456621,0.682242991,18
0.727853881,0.714953271,19
0.652054795,0.64953271,20
0.574429224,0.579439252,21
0.503652968,0.495327103,22
0.439726027,0.439252336,23
0.393607306,0.359813084,0
0.289497717,0.303738318,1
0.257534247,0.271028037,2
0.239269406,0.238317757,3
0.184474886,0.214953271,4
0.236986301,0.228971963,5
0.237442922,0.271028037,6
0.299543379,0.308411215,7
0.292694064,0.303738318,8
0.429680365,0.38317757,9
0.4543379,0.495327103,10
0.474885845,0.485981308,11
0.488584475,0.495327103,12
0.417808219,0.453271028,13
0.360730594,0.373831776,14
0.344748858,0.35046729,15
0.349315068,0.359813084,16
0.404109589,0.41588785,17
0.547945205,0.551401869,18
0.606392694,0.612149533,19
0.589041096,0.598130841,20
0.573515982,0.579439252,21
0.503652968,0.514018692,22
0.451141553,0.457943925,23
0.357990868,0.373831776,0
0.282648402,0.38317757,1
0.251598174,0.261682243,2
0.240182648,0.242990654,3
0.237899543,0.238317757,4
0.272146119,0.280373832,5
0.315525114,0.369158879,6
0.594977169,0.588785047,7
0.889497717,0.859813084,8
0.919178082,0.920560748,9
0.919178082,0.911214953,10
0.903196347,0.91588785,11
0.834703196,0.855140187,12
0.770776256,0.76635514,13
0.750228311,0.742990654,14
0.763926941,0.76635514,15
0.773059361,0.771028037,16
0.791324201,0.789719626,17
0.937442922,0.943925234,18
0.935159817,0.934579439,19
0.795890411,0.794392523,20
0.730593607,0.714953271,21
0.605022831,0.598130841,22
0.46803653,0.5,23
0.419178082,0.387850467,0
0.399543379,0.406542056,1
0.359360731,0.327102804,2
0.341552511,0.331775701,3
0.362100457,0.322429907,4
0.350228311,0.373831776,5
0.414155251,0.411214953,6
0.637899543,0.598130841,7
0.856164384,0.831775701,8
0.920091324,0.906542056,9
0.929223744,0.892523364,10
0.901826484,0.869158879,11
0.824200913,0.808411215,12
0.742009132,0.710280374,13
0.719178082,0.714953271,14
0.771689498,0.747663551,15
0.758447489,0.76635514,16
0.797260274,0.757009346,17
0.935616438,0.897196262,18
0.940182648,0.897196262,19
0.823744292,0.76635514,20
0.764383562,0.719626168,21
0.630593607,0.621495327,22
0.575799087,0.551401869,23
0.461643836,0.443925234,0
0.384018265,0.373831776,1
0.361187215,0.327102804,2
0.301369863,0.275700935,3
0.297716895,0.289719626,4
0.315981735,0.308411215,5
0.409589041,0.359813084,6
0.649315068,0.602803738,7
0.888127854,0.827102804,8
0.970319635,0.920560748,9
1,0.939252336,10
0.98630137,0.948598131,11
0.920091324,0.869158879,12
0.819634703,0.757009346,13
0.819634703,0.757009346,14
0.812785388,0.817757009,15
0.840182648,0.813084112,16
0.892694064,0.855140187,17
0.945205479,0.929906542,18
0.926940639,0.901869159,19
0.831050228,0.803738318,20
0.749771689,0.738317757,21
0.635616438,0.61682243,22
0.557990868,0.556074766,23
0.448858447,0.46728972,0
0.366666667,0.369158879,1
0.316438356,0.294392523,2
0.279908676,0.271028037,3
0.289041096,0.280373832,4
0.323287671,0.336448598,5
0.375799087,0.38317757,6
0.604109589,0.588785047,7
0.861187215,0.831775701,8
0.911415525,0.864485981,9
0.91369863,0.88317757,10
0.874885845,0.878504673,11
0.861187215,0.836448598,12
0.726484018,0.757009346,13
0.749315068,0.705607477,14
0.753881279,0.738317757,15
0.790410959,0.747663551,16
0.790410959,0.757009346,17
0.959360731,0.911214953,18
0.929680365,0.897196262,19
0.852054795,0.789719626,20
0.794977169,0.714953271,21
0.645205479,0.588785047,22
0.531050228,0.504672897,23
0.431050228,0.462616822,0
0.334703196,0.345794393,1
0.305022831,0.308411215,2
0.277625571,0.308411215,3
0.293607306,0.308411215,4
0.302739726,0.308411215,5
0.364383562,0.38317757,6
0.629223744,0.593457944,7
0.856164384,0.803738318,8
0.9543379,0.939252336,9
0.9543379,0.934579439,10
0.956621005,0.901869159,11
0.899543379,0.841121495,12
0.802283105,0.775700935,13
0.79543379,0.775700935,14
0.78630137,0.785046729,15
0.83652968,0.785046729,16
0.829680365,0.785046729,17
0.948401826,0.906542056,18
0.948401826,0.901869159,19
0.829680365,0.785046729,20
0.708675799,0.677570093,21
0.617351598,0.598130841,22
0.550228311,0.546728972,23
0.462557078,0.453271028,0
0.340182648,0.38317757,1
0.324200913,0.317757009,2
0.237442922,0.26635514,3
0.257077626,0.26635514,4
0.28630137,0.275700935,5
0.32739726,0.336448598,6
0.600456621,0.476635514,7
0.583105023,0.588785047,8
0.678995434,0.677570093,9
0.69543379,0.714953271,10
0.670776256,0.668224299,11
0.639726027,0.621495327,12
0.549315068,0.53271028,13
0.496803653,0.476635514,14
0.476255708,0.457943925,15
0.48173516,0.481308411,16
0.50913242,0.490654206,17
0.68173516,0.686915888,18
0.7456621,0.714953271,19
0.649771689,0.630841121,20
0.585844749,0.574766355,21
0.503652968,0.495327103,22
0.438812785,0.420560748,23
0.392694064,0.35046729,0
0.28630137,0.271028037,1
0.242922374,0.219626168,2
0.243835616,0.210280374,3
0.225570776,0.191588785,4
0.224200913,0.214953271,5
0.257990868,0.238317757,6
0.299543379,0.275700935,7
0.317351598,0.327102804,8
0.381278539,0.373831776,9
0.47260274,0.443925234,10
0.51826484,0.485981308,11
0.52283105,0.528037383,12
0.442465753,0.434579439,13
0.402283105,0.425233645,14
0.398630137,0.378504673,15
0.391780822,0.369158879,16
0.416894977,0.439252336,17
0.572146119,0.556074766,18
0.613242009,0.593457944,19
0.612328767,0.602803738,20
0.607762557,0.574766355,21
0.507305936,0.504672897,22
0.464840183,0.425233645,23
0.369406393,0.331775701,0
0.295890411,0.257009346,1
0.259817352,0.228971963,2
0.232420091,0.242990654,3
0.239269406,0.210280374,4
0.252968037,0.261682243,5
0.332420091,0.364485981,6
0.62739726,0.570093458,7
0.857990868,0.827102804,8
0.935616438,0.906542056,9
0.933333333,0.901869159,10
0.916438356,0.887850467,11
0.854794521,0.813084112,12
0.765753425,0.719626168,13
0.793150685,0.738317757,14
0.790410959,0.752336449,15
0.800456621,0.771028037,16
0.82283105,0.771028037,17
0.933333333,0.887850467,18
0.919178082,0.855140187,19
0.823287671,0.761682243,20
0.763013699,0.700934579,21
0.618721461,0.579439252,22
0.539269406,0.523364486,23
0.457990868,0.406542056,0
0.380821918,0.336448598,1
0.348858447,0.299065421,2
0.291780822,0.271028037,3
0.326940639,0.285046729,4
0.321004566,0.308411215,5
0.362100457,0.401869159,6
0.635159817,0.579439252,7
0.831506849,0.76635514,8
0.89086758,0.869158879,9
0.876712329,0.855140187,10
0.865296804,0.836448598,11
0.835616438,0.789719626,12
0.742009132,0.691588785,13
0.742009132,0.700934579,14
0.764840183,0.719626168,15
0.771689498,0.724299065,16
0.794520548,0.742990654,17
0.926940639,0.91588785,18
0.913242009,0.873831776,19
0.815981735,0.775700935,20
0.743378995,0.696261682,21
0.624657534,0.607476636,22
0.570776256,0.570093458,23
0.467579909,0.462616822,0
0.37716895,0.369158879,1
0.31826484,0.299065421,2
0.29086758,0.303738318,3
0.293150685,0.294392523,4
0.310502283,0.313084112,5
0.371232877,0.378504673,6
0.631506849,0.574766355,7
0.833789954,0.794392523,8
0.934703196,0.878504673,9
0.916438356,0.859813084,10
0.916438356,0.827102804,11
0.907305936,0.757009346,12
0.764840183,0.714953271,13
0.757990868,0.710280374,14
0.748858447,0.705607477,15
0.744292237,0.714953271,16
0.742465753,0.719626168,17
0.92283105,0.864485981,18
0.9456621,0.897196262,19
0.804109589,0.771028037,20
0.731050228,0.677570093,21
0.597260274,0.574766355,22
0.540182648,0.509345794,23
0.471232877,0.429906542,0
0.398173516,0.35046729,1
0.288584475,0.285046729,2
0.284018265,0.26635514,3
0.279452055,0.257009346,4
0.353881279,0.285046729,5
0.363926941,0.345794393,6
0.577625571,0.537383178,7
0.867579909,0.841121495,8
0.917808219,0.892523364,9
0.920091324,0.897196262,10
0.897260274,0.887850467,11
0.846575342,0.836448598,12
0.757534247,0.742990654,13
0.758447489,0.780373832,14
0.781278539,0.780373832,15
0.809589041,0.803738318,16
0.827853881,0.799065421,17
0.941552511,0.911214953,18
0.89086758,0.859813084,19
0.844292237,0.813084112,20
0.7543379,0.700934579,21
0.621917808,0.579439252,22
0.560273973,0.528037383,23
0.433789954,0.448598131,0
0.359360731,0.336448598,1
0.293150685,0.289719626,2
0.284018265,0.252336449,3
0.3,0.275700935,4
0.302283105,0.285046729,5
0.375342466,0.341121495,6
0.675799087,0.579439252,7
0.821917808,0.771028037,8
0.898173516,0.864485981,9
0.882648402,0.827102804,10
0.857990868,0.813084112,11
0.823744292,0.747663551,12
0.722374429,0.677570093,13
0.699543379,0.663551402,14
0.720547945,0.682242991,15
0.72739726,0.696261682,16
0.735159817,0.700934579,17
0.901826484,0.869158879,18
0.913242009,0.878504673,19
0.82283105,0.771028037,20
0.732420091,0.677570093,21
0.592237443,0.593457944,22
0.576712329,0.546728972,23
0.450684932,0.392523364,0
0.363926941,0.341121495,1
0.297716895,0.285046729,2
0.274885845,0.261682243,3
0.29086758,0.261682243,4
0.306849315,0.280373832,5
0.33652968,0.299065421,6
0.49543379,0.560747664,7
0.577625571,0.570093458,8
0.655251142,0.64953271,9
0.705479452,0.691588785,10
0.678538813,0.635514019,11
0.591324201,0.593457944,12
0.529680365,0.490654206,13
0.470776256,0.448598131,14
0.468493151,0.453271028,15
0.487671233,0.448598131,16
0.505936073,0.481308411,17
0.665753425,0.635514019,18
0.702283105,0.677570093,19
0.642922374,0.64953271,20
0.551598174,0.570093458,21
0.496803653,0.457943925,22
0.430593607,0.401869159,23
0.380365297,0.336448598,0
0.334246575,0.285046729,1
0.315525114,0.257009346,2
0.233789954,0.210280374,3
0.236986301,0.196261682,4
0.252968037,0.205607477,5
0.285388128,0.224299065,6
0.321917808,0.26635514,7
0.275342466,0.242990654,8
0.371232877,0.359813084,9
0.437442922,0.429906542,10
0.439726027,0.439252336,11
0.439726027,0.41588785,12
0.381278539,0.387850467,13
0.358447489,0.355140187,14
0.328767123,0.317757009,15
0.331506849,0.317757009,16
0.310958904,0.331775701,17
0.527853881,0.509345794,18
0.594063927,0.579439252,19
0.580365297,0.565420561,20
0.534703196,0.528037383,21
0.463926941,0.457943925,22
0.463926941,0.420560748,23
0.405479452,0.331775701,0
0.308219178,0.257009346,1
